mean,variance,fit
5.004025562380900460e+00,7.554513699012808559e+00,7.850694397977628469e+00
4.185244384898096826e+01,2.303551061180421655e+01,2.333296147454024450e+01
7.871717590599536152e+01,3.854157284770669634e+01,3.882208296066301756e+01
1.155411287963686959e+02,5.397800620246297854e+01,5.429407063267778710e+01
1.524075279014279261e+02,6.951073013735175721e+01,6.978389254731987990e+01
1.892977563560443741e+02,8.509335685142481509e+01,8.528372662452579789e+01
2.260953185609575371e+02,9.991936316394550488e+01,1.007446259606057737e+02
2.630077091428627227e+02,1.165274646449012437e+02,1.162537716986542335e+02
2.997816450536824391e+02,1.306673692540801710e+02,1.317047441881504710e+02
3.366568440185692452e+02,1.470848508036600322e+02,1.471982634604111979e+02
3.735658566875854945e+02,1.634189568961988357e+02,1.627059899313122742e+02
4.103567602432168542e+02,1.768636212052354324e+02,1.781640915628680375e+02
4.472228556606966094e+02,1.940405320954873503e+02,1.936537858798429284e+02
4.839769961309745554e+02,2.104645536958161074e+02,2.090964410978899082e+02
5.210056049953326465e+02,2.238400504815849104e+02,2.246544172219300037e+02
5.577387855641090937e+02,2.382220920073631305e+02,2.400882659074842991e+02
5.946499158835212029e+02,2.580424746550556847e+02,2.555968821324244118e+02
6.314954678326060957e+02,2.757269579510372637e+02,2.710779448858435785e+02
6.682740984118786400e+02,2.888925564053456583e+02,2.865308898917788838e+02
7.052334564739122698e+02,3.047914182116030588e+02,3.020597695317171087e+02
7.419444826429613613e+02,3.158608268931302518e+02,3.174843098032485500e+02
7.789703837179971515e+02,3.291087252195516157e+02,3.330411482199073134e+02
8.157320055571775583e+02,3.513079907083318290e+02,3.484869468171502263e+02
8.525028237089462664e+02,3.639935108899994702e+02,3.639366093459872786e+02
8.893729987080765795e+02,3.783450860301816761e+02,3.794280177439352997e+02
9.262414751519178253e+02,3.943035745690136764e+02,3.949187124752497766e+02
9.630595780251621818e+02,4.101190236261062978e+02,4.103882421984080224e+02
9.999486555842488542e+02,4.232142015493470240e+02,4.258875927142346995e+02
