noise_sigma,method,parameter,psnr,ssim
0.04,Gaussian,0.3,28.246558811559638,0.6448112650531255
0.04,Gaussian,0.6,31.048899874341576,0.8067491838621587
0.04,Gaussian,1.0,28.693845971844475,0.8132674252484157
0.04,Gaussian,1.5,26.511950725102228,0.7694867794446291
0.04,Gaussian,2.2,24.542645970854387,0.7069172205930656
0.04,TV,0.01,31.119560695509705,0.7754668099271612
0.04,TV,0.03,32.37138514417513,0.8710827009161316
0.04,TV,0.06,30.603170497730822,0.8221914690588208
0.04,TV,0.1,29.050902453599203,0.7776682684947341
0.04,TV,0.18,27.052874220789974,0.7234565310721496
0.04,NLM,0.5,29.930844584104133,0.7602437921178179
0.04,NLM,0.7,32.36510613273054,0.8787624672290195
0.04,NLM,0.9,32.8279646913346,0.8747367592105658
0.04,NLM,1.1,32.1516820260883,0.8444813062887832
0.04,NLM,1.4,31.197572559767046,0.8088189513621317
0.08,Gaussian,0.3,22.429766811842413,0.3994930424563457
0.08,Gaussian,0.6,27.221367253145523,0.6053454614800748
0.08,Gaussian,1.0,27.561432943967873,0.7091133817878041
0.08,Gaussian,1.5,26.107011374533634,0.7176814478612692
0.08,Gaussian,2.2,24.36940368882082,0.681922193899778
0.08,TV,0.01,24.150070664431155,0.46687922058334924
0.08,TV,0.03,27.638283944730606,0.6423137552901714
0.08,TV,0.06,29.33951254184022,0.7796520560705754
0.08,TV,0.1,28.55019391409311,0.7615822486001507
0.08,TV,0.18,26.97467775590471,0.7237749248332759
0.08,NLM,0.5,25.187043911282082,0.5626650301876622
0.08,NLM,0.7,28.985313834702847,0.7478027427670699
0.08,NLM,0.9,29.641489466484817,0.7654752984003598
0.08,NLM,1.1,29.255924087652087,0.7536236848722455
0.08,NLM,1.4,28.43977800681923,0.7326935599921419
0.12,Gaussian,0.3,19.19565409161818,0.2817662807869264
0.12,Gaussian,0.6,24.428612544533138,0.4676940212208972
0.12,Gaussian,1.0,26.162722890699506,0.6090954198634955
0.12,Gaussian,1.5,25.452668432485336,0.6586454019429246
0.12,Gaussian,2.2,24.04287067023496,0.6519315558867945
0.12,TV,0.01,20.377210886400654,0.31771758911547365
0.12,TV,0.03,23.118427640239467,0.42216092567556135
0.12,TV,0.06,26.501741825436657,0.6190412744076911
0.12,TV,0.1,27.454759324088755,0.7246041765609207
0.12,TV,0.18,26.641976283381894,0.696742714011678
0.12,NLM,0.5,22.94805538693489,0.46484131489365477
0.12,NLM,0.7,27.266512687386513,0.6656001147170602
0.12,NLM,0.9,27.808906700301254,0.7035314788427968
0.12,NLM,1.1,27.287960457336396,0.7015252350919263
0.12,NLM,1.4,26.360607373237457,0.6851879404411417
