method,n1,n2,good,geom_correct,precision,median_error,detect_ms,match_ms,case,angle,scale,gamma,noise_std
sift,791,791,791,791,1.0,0.0,77.64181699985784,3.501010999571008,0,0,1.0,1.0,0.0
orb,2369,2369,2369,2369,1.0,0.0,26.368764999460836,12.416211000527255,0,0,1.0,1.0,0.0
akaze,508,508,508,508,1.0,0.0,35.62769899963314,0.9959500002878485,0,0,1.0,1.0,0.0
sift,791,984,503,489,0.9721669980119284,0.1913665567999121,65.91932999981509,3.7011260001236224,1,25,1.0,1.0,0.0
orb,2369,2412,1480,1409,0.952027027027027,0.861058212469152,11.90173600025446,12.644510999962222,1,25,1.0,1.0,0.0
akaze,508,502,389,380,0.9768637532133676,0.1872768293757362,32.09112200056552,0.9857410004769918,1,25,1.0,1.0,0.0
sift,791,714,319,297,0.9310344827586207,0.18450872668513163,61.301867999645765,2.769128999716486,2,0,0.75,1.0,0.0
orb,2369,2270,865,839,0.9699421965317919,0.8236397827637445,12.603553000190004,12.341367000772152,2,0,0.75,1.0,0.0
akaze,508,477,254,244,0.9606299212598425,0.42450532603928703,34.32013400015421,0.8354890005648485,2,0,0.75,1.0,0.0
sift,791,955,296,284,0.9594594594594594,0.3235491339593285,65.79408299967326,3.6503999999695225,3,35,0.8,0.7,0.02
orb,2369,2366,917,872,0.95092693565976,0.87120511190322,12.09696800015081,11.962839999796415,3,35,0.8,0.7,0.02
akaze,508,522,224,207,0.9241071428571429,0.6033165705011106,33.084969999436,0.903678999748081,3,35,0.8,0.7,0.02
sift,791,1270,307,297,0.9674267100977199,0.5019567765065266,71.36997799989331,5.029816000387655,4,-45,1.25,1.4,0.04
orb,2369,2456,925,788,0.8518918918918919,1.3544583388206126,12.559757999952126,12.548101999527717,4,-45,1.25,1.4,0.04
akaze,508,616,236,215,0.9110169491525424,0.8004401000619261,40.81747199961683,1.1631820007096394,4,-45,1.25,1.4,0.04
